Zip,businesses,total_sales,average_sales,total_cashed,average_cash,cashed_rate,lat,lon
44017,,3761756.00,179131.24,1926332.50,91730.12,0.51,41.37,-81.87
44022,,274498.00,91499.33,113025.50,37675.17,0.41,41.45,-81.39
44040,,165038.00,165038.00,54331.50,54331.50,0.33,41.53,-81.42
44070,,6192729.00,199765.45,3180700.00,102603.23,0.51,41.42,-81.92
44102,,6140577.50,97469.48,3029207.00,48082.65,0.49,41.48,-81.74
44103,34,7690160.00,226181.18,3351225.00,98565.44,0.44,41.52,-81.64
44104,24,3991963.00,166331.79,1685649.50,70235.40,0.42,41.48,-81.63
44105,46,8759653.00,190427.24,4007239.00,87113.89,0.46,41.45,-81.63
44106,22,4162664.00,189212.00,1495756.50,67988.93,0.36,41.51,-81.61
44107,51,6719000.50,131745.11,3590139.00,70394.88,0.53,41.48,-81.80
44108,27,4980246.50,184453.57,2015054.50,74631.65,0.41,41.55,-81.61
44109,60,7668407.50,127806.79,3755449.50,62590.83,0.49,41.44,-81.70
44110,21,4900099.50,233338.07,2170159.00,103340.90,0.44,41.57,-81.57
44111,63,9634417.00,152927.25,5136993.50,81539.58,0.53,41.46,-81.79
44112,29,6242918.50,215273.05,2637972.00,90964.55,0.42,41.54,-81.57
44113,25,4887450.00,195498.00,2348168.50,93926.74,0.48,41.49,-81.69
44114,27,3538252.50,131046.39,1698118.00,62893.26,0.48,41.52,-81.68
44115,20,1883383.50,94169.18,764867.00,38243.35,0.41,41.49,-81.68
44116,16,2265245.50,141577.84,1197242.50,74827.66,0.53,41.47,-81.85
44117,8,1877329.00,234666.13,948691.50,118586.44,0.51,41.57,-81.53
44118,16,3601976.00,225123.50,1480683.50,92542.72,0.41,41.50,-81.55
44119,21,4254538.50,202597.07,1896718.00,90319.90,0.45,41.59,-81.55
44120,30,8554981.00,285166.03,3498321.50,116610.72,0.41,41.47,-81.58
44121,21,5930731.50,282415.79,2752144.50,131054.50,0.46,41.53,-81.53
44122,13,2969198.00,228399.85,1134695.50,87284.27,0.38,41.48,-81.51
44123,16,2848552.00,178034.50,1345287.00,84080.44,0.47,41.60,-81.53
44124,23,4436781.50,192903.54,2180128.50,94788.20,0.49,41.50,-81.47
44125,28,6154178.00,219792.07,3159770.00,112848.93,0.51,41.40,-81.63
44126,15,2478103.00,165206.87,1301369.00,86757.93,0.53,41.44,-81.85
44127,12,1158761.00,96563.42,514781.00,42898.42,0.44,41.47,-81.65
44128,35,10529904.00,300854.40,4755340.50,135866.87,0.45,41.44,-81.54
44129,30,5755941.50,191864.72,2968154.00,98938.47,0.52,41.39,-81.74
44130,64,13668184.00,213565.38,7075145.50,110549.15,0.52,41.38,-81.79
44131,16,3768093.50,235505.84,1836804.50,114800.28,0.49,41.39,-81.64
44132,10,2517001.50,251700.15,1113647.50,111364.75,0.44,41.61,-81.50
44133,26,4172462.00,160479.31,2227358.50,85667.63,0.53,41.31,-81.74
44134,56,10609156.50,189449.22,5813117.50,103805.67,0.55,41.39,-81.71
44135,34,5604754.00,164845.71,2782156.00,81828.12,0.50,41.42,-81.82
44136,22,3437865.50,156266.61,1679833.50,76356.07,0.49,41.31,-81.81
44137,34,8071789.50,237405.57,3811994.50,112117.49,0.47,41.40,-81.56
44138,14,1915661.00,136832.93,1022122.00,73008.71,0.53,41.38,-81.93
44139,14,3101385.00,221527.50,1477748.00,105553.43,0.48,41.39,-81.44
44140,5,419399.00,83879.80,158616.00,31723.20,0.38,41.49,-81.92
44141,5,804167.50,160833.50,347398.00,69479.60,0.43,41.31,-81.62
44142,23,6144061.00,267133.09,2959303.00,128665.35,0.48,41.40,-81.83
44143,15,4897620.00,326508.00,2219177.50,147945.17,0.45,41.56,-81.48
44144,24,5853976.50,243915.69,3135360.50,130640.02,0.54,41.44,-81.74
44145,32,4250697.50,132834.30,2044307.00,63884.59,0.48,41.44,-81.93
44146,36,6937810.00,192716.94,2833348.00,78704.11,0.41,41.39,-81.54
44147,20,1993002.50,99650.13,905894.50,45294.73,0.46,41.31,-81.67
44149,12,2092054.00,174337.83,1057605.00,88133.75,0.51,41.31,-81.85
44199,1,748573.50,748573.50,363650.00,363650.00,0.49,41.50,-81.70
