Zip,businesses,total_sales,average_sales,total_cashed,average_cash,cashed_rate,"lat,lon"
44141,5,"$804,167.50 ","$160,833.50 ","$347,398.00 ","$69,479.60 ",43.20%,"[-81.075146,41.384601],[-81.074828,41.3849],[-81.074468,41.385323],[-81.0741,41.385597],[-81.073974,41.385754],[-81.073943,41.385844],[-81.074088,41.385868],[-81.074329,41.385875],[-81.073926,41.386314],[-81.07544,41.386316],[-81.080111,41.386388],[-81.081275,41.386388],[-81.096711,41.386388],[-81.098783,41.386901],[-81.098865,41.386922],[-81.099155,41.386993],[-81.09946,41.386992],[-81.099479,41.395927],[-81.099641,41.406975],[-81.099614,41.409985],[-81.096649,41.41024],[-81.099252,41.414712],[-81.099545,41.415213],[-81.099499,41.423246],[-81.099571,41.425982],[-81.099579,41.432134],[-81.118686,41.450269],[-81.125893,41.452559],[-81.127457,41.453898],[-81.129111,41.454083],[-81.129254,41.4542],[-81.129502,41.454505],[-81.129847,41.454968],[-81.130347,41.455625],[-81.130564,41.455952],[-81.130655,41.456047],[-81.130734,41.456111],[-81.130838,41.456206],[-81.13093,41.456269],[-81.131086,41.456344],[-81.131561,41.456539],[-81.133047,41.457104],[-81.126851,41.459683],[-81.126916,41.462136],[-81.125811,41.463211]"
44149,12,"$2,092,054.00 ","$174,337.83 ","$1,057,605.00 ","$88,133.75 ",50.60%,"[-81.125744,41.463558],[-81.125936,41.463588],[-81.126104,41.463628],[-81.126256,41.463679],[-81.126396,41.463739],[-81.126556,41.463826],[-81.1267,41.463927],[-81.126786,41.464002],[-81.126892,41.464113],[-81.126984,41.464232],[-81.127104,41.464417],[-81.127269,41.464717],[-81.126362,41.465027],[-81.125834,41.465294],[-81.125531,41.46555],[-81.12507,41.466198],[-81.124451,41.466881],[-81.124278,41.467261],[-81.124122,41.467629],[-81.123869,41.468032],[-81.123232,41.468654],[-81.122897,41.468946],[-81.122355,41.469459],[-81.12202,41.46969],[-81.121619,41.469871],[-81.12117,41.469954],[-81.120594,41.470073],[-81.120002,41.470166],[-81.119521,41.470285],[-81.118753,41.470562],[-81.118448,41.470671],[-81.118048,41.470741],[-81.117664,41.470911],[-81.117328,41.471203],[-81.117125,41.471595],[-81.116921,41.472072],[-81.116764,41.472354],[-81.116493,41.472585],[-81.116076,41.472693],[-81.115564,41.472738],[-81.114957,41.472745],[-81.114588,41.472841],[-81.114252,41.473072],[-81.113837,41.473364],[-81.112335,41.47452]"
44136,22,"$3,437,865.50 ","$156,266.61 ","$1,679,833.50 ","$76,356.07 ",48.90%,"[-81.111695,41.474921],[-81.11096,41.475407],[-81.110401,41.475821],[-81.109748,41.476279],[-81.109351,41.476562],[-81.108886,41.477174],[-81.108814,41.47741],[-81.108894,41.477726],[-81.109049,41.47809],[-81.109049,41.478274],[-81.108935,41.478375],[-81.109101,41.478741],[-81.109211,41.478935],[-81.109186,41.47914],[-81.109026,41.47925],[-81.108737,41.479258],[-81.108326,41.479256],[-81.10795,41.479396],[-81.107715,41.479529],[-81.107225,41.479727],[-81.106041,41.480124],[-81.105881,41.48038],[-81.105708,41.480775],[-81.105759,41.480949],[-81.105924,41.481092],[-81.106033,41.481313],[-81.106593,41.481935],[-81.106802,41.482115],[-81.107173,41.482189],[-81.10732,41.482309],[-81.107351,41.48251],[-81.10731,41.48306],[-81.107297,41.483376],[-81.107031,41.484151],[-81.106995,41.484337],[-81.106461,41.484645],[-81.105973,41.484628],[-81.105767,41.484719],[-81.105687,41.484839],[-81.105764,41.48571],[-81.105574,41.486439],[-81.105478,41.486644],[-81.105421,41.486903],[-81.105448,41.48712],[-81.105457,41.487229]"
44147,20,"$1,993,002.50 ","$99,650.13 ","$905,894.50 ","$45,294.73 ",45.50%,"[-81.105336,41.487401],[-81.105207,41.487459],[-81.105073,41.487622],[-81.105037,41.487767],[-81.105037,41.488321],[-81.104965,41.488625],[-81.103958,41.48946],[-81.103339,41.489788],[-81.103239,41.489987],[-81.10354,41.491413],[-81.103512,41.49174],[-81.103357,41.491876],[-81.10304,41.491889],[-81.102906,41.491944],[-81.10281,41.492066],[-81.102679,41.492308],[-81.102413,41.492534],[-81.102307,41.492701],[-81.102245,41.492838],[-81.102072,41.492961],[-81.101631,41.492887],[-81.101368,41.492887],[-81.101187,41.492959],[-81.10102,41.49316],[-81.100984,41.493348],[-81.101015,41.49352],[-81.100968,41.493691],[-81.100787,41.493838],[-81.100535,41.493948],[-81.100465,41.494134],[-81.100532,41.494359],[-81.100563,41.494518],[-81.100529,41.494681],[-81.100597,41.494822],[-81.100625,41.494969],[-81.100542,41.495089],[-81.100271,41.495223],[-81.09983,41.495401],[-81.099929,41.501136],[-81.099067,41.501348],[-81.098739,41.501348],[-81.098461,41.50134],[-81.096684,41.501288],[-81.095953,41.501266],[-81.094407,41.501172]"
44133,26,"$4,172,462.00 ","$160,479.31 ","$2,227,358.50 ","$85,667.63 ",53.40%,"[-81.094344,41.501146],[-81.094319,41.501142],[-81.094212,41.501096],[-81.0941,41.501037],[-81.093911,41.500902],[-81.093812,41.500818],[-81.093685,41.500688],[-81.092102,41.498918],[-81.091375,41.498105],[-81.091217,41.497928],[-81.072874,41.500991],[-81.071994,41.500571],[-81.071346,41.501217],[-81.071317,41.501246],[-81.071268,41.501246],[-81.071239,41.501246],[-81.071244,41.501308],[-81.071269,41.501401],[-81.071268,41.50143],[-81.071271,41.501827],[-81.07127,41.501886],[-81.072709,41.502708],[-81.072711,41.502707],[-81.072771,41.502644],[-81.072797,41.502633],[-81.072828,41.502629],[-81.072848,41.502631],[-81.072868,41.502621],[-81.072879,41.502605],[-81.072884,41.502587],[-81.072902,41.502573],[-81.072946,41.502564],[-81.072999,41.50256],[-81.073063,41.502565],[-81.073115,41.50258],[-81.073144,41.502624],[-81.07315,41.502658],[-81.073144,41.502703],[-81.073122,41.502761],[-81.073102,41.50285],[-81.073083,41.502989],[-81.073095,41.503032],[-81.073125,41.503062],[-81.073153,41.503083],[-81.073188,41.503092]"
44017,,"$3,761,756.00 ","$179,131.24 ","$1,926,332.50 ","$91,730.12 ",51.20%,"[-81.073303,41.503085],[-81.073381,41.50307],[-81.073512,41.503028],[-81.073582,41.503013],[-81.073656,41.503008],[-81.073724,41.503015],[-81.073762,41.503029],[-81.073789,41.503048],[-81.073806,41.503075],[-81.073812,41.503112],[-81.073811,41.503161],[-81.073781,41.503307],[-81.074787,41.503895],[-81.079619,41.520395],[-81.079105,41.521508],[-81.072998,41.534796],[-81.071227,41.534803],[-81.067161,41.534819],[-81.066924,41.53482],[-81.066469,41.534821],[-81.063778,41.534832],[-81.063006,41.534835],[-81.056903,41.534858],[-81.054344,41.534868],[-81.05256,41.534882],[-81.051967,41.534886],[-81.051773,41.534888],[-81.04782,41.534908],[-81.032238,41.528836],[-81.032243,41.528541],[-81.032311,41.528359],[-81.032395,41.528236],[-81.032365,41.528102],[-81.032187,41.527953],[-81.031957,41.527939],[-81.031694,41.527962],[-81.031528,41.528058],[-81.031379,41.528107],[-81.031216,41.528069],[-81.031036,41.527994],[-81.030845,41.527698],[-81.030765,41.527586],[-81.030602,41.527512],[-81.030439,41.527485],[-81.030289,41.527546]"
44138,14,"$1,915,661.00 ","$136,832.93 ","$1,022,122.00 ","$73,008.71 ",53.40%,"[-81.030092,41.527606],[-81.029878,41.527617],[-81.029633,41.527553],[-81.029503,41.527454],[-81.029442,41.527209],[-81.029397,41.526975],[-81.029482,41.526767],[-81.029647,41.526622],[-81.029782,41.526379],[-81.029914,41.526294],[-81.030191,41.526285],[-81.030401,41.526399],[-81.030546,41.526499],[-81.030773,41.526552],[-81.030936,41.526529],[-81.031052,41.526445],[-81.031119,41.52631],[-81.031236,41.52614],[-81.031418,41.525995],[-81.03155,41.52591],[-81.031569,41.525764],[-81.031636,41.525666],[-81.031768,41.525606],[-81.031948,41.525535],[-81.031982,41.525412],[-81.031937,41.525253],[-81.032021,41.52507],[-81.032022,41.524984],[-81.031959,41.524898],[-81.031732,41.524749],[-81.031405,41.52466],[-81.031275,41.524585],[-81.031112,41.524498],[-81.0309,41.524447],[-81.030771,41.524373],[-81.030595,41.524077],[-81.030614,41.523942],[-81.030665,41.523796],[-81.030751,41.523564],[-81.030757,41.523196],[-81.03066,41.523109],[-81.030447,41.523083],[-81.030169,41.523032],[-81.029778,41.522893],[-81.029453,41.522731]"
44130,64,"$13,668,184.00 ","$213,565.38 ","$7,075,145.50 ","$110,549.15 ",51.80%,"[-81.029226,41.522582],[-81.029114,41.522397],[-81.02902,41.522163],[-81.029024,41.52193],[-81.029142,41.521686],[-81.029262,41.521381],[-81.028566,41.521378],[-81.025332,41.521364],[-81.019591,41.521347],[-81.016308,41.5213],[-81.012446,41.521299],[-81.004486,41.521337],[-81.003135,41.521353],[-81.003136,41.521113],[-81.002807,41.521012],[-81.002309,41.520799],[-81.001808,41.520684],[-81.00142,41.520618],[-81.001115,41.520492],[-81.000662,41.52039],[-81.000209,41.520349],[-81.000016,41.520261]"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
