,zip_code,distance,city,state
65,44114,0.0,"""Cleveland""","""OH"""
64,44103,1.868,"""Cleveland""","""OH"""
59,44115,1.871,"""Cleveland""","""OH"""
58,44189,2.123,"""Cleveland""","""OH"""
57,44185,2.123,"""Cleveland""","""OH"""
56,44178,2.173,"""Cleveland""","""OH"""
55,44101,2.199,"""Cleveland""","""OH"""
53,44113,2.7310000000000003,"""Cleveland""","""OH"""
40,44194,3.489,"""Cleveland""","""OH"""
39,44193,3.489,"""Cleveland""","""OH"""
38,44192,3.489,"""Cleveland""","""OH"""
35,44188,3.489,"""Cleveland""","""OH"""
36,44190,3.489,"""Cleveland""","""OH"""
42,44197,3.489,"""Cleveland""","""OH"""
34,44181,3.489,"""Cleveland""","""OH"""
37,44191,3.489,"""Cleveland""","""OH"""
43,44198,3.489,"""Cleveland""","""OH"""
41,44195,3.489,"""Cleveland""","""OH"""
44,44199,3.489,"""Cleveland""","""OH"""
47,44127,3.6060000000000003,"""Cleveland""","""OH"""
51,44104,3.719,"""Cleveland""","""OH"""
63,44106,3.9010000000000002,"""Cleveland""","""OH"""
70,44108,4.023,"""Cleveland""","""OH"""
50,44102,4.296,"""Cleveland""","""OH"""
29,44109,5.081,"""Cleveland""","""OH"""
30,44105,5.4670000000000005,"""Cleveland""","""OH"""
69,44112,5.473,"""Cleveland""","""OH"""
49,44120,5.9910000000000005,"""Cleveland""","""OH"""
62,44118,6.404,"""Cleveland""","""OH"""
24,44144,6.56,"""Cleveland""","""OH"""
72,44110,6.781000000000001,"""Cleveland""","""OH"""
52,44107,6.898,"""Lakewood""","""OH"""
32,44111,7.144,"""Cleveland""","""OH"""
66,44121,7.571000000000001,"""Cleveland""","""OH"""
74,44119,8.276,"""Cleveland""","""OH"""
20,44125,8.67,"""Cleveland""","""OH"""
73,44117,8.708,"""Euclid""","""OH"""
25,44128,9.094,"""Cleveland""","""OH"""
33,44122,9.256,"""Beachwood""","""OH"""
18,44129,9.437000000000001,"""Cleveland""","""OH"""
16,44131,9.596,"""Independence""","""OH"""
48,44116,9.666,"""Rocky River""","""OH"""
14,44134,9.72,"""Cleveland""","""OH"""
21,44137,9.722000000000001,"""Maple Heights""","""OH"""
23,44135,9.787,"""Cleveland""","""OH"""
76,44123,9.881,"""Euclid""","""OH"""
26,44126,10.543,"""Cleveland""","""OH"""
71,44143,10.652999999999999,"""Cleveland""","""OH"""
77,44132,11.097000000000001,"""Euclid""","""OH"""
61,44124,11.115,"""Cleveland""","""OH"""
13,44130,11.418,"""Cleveland""","""OH"""
19,44142,11.615,"""Brookpark""","""OH"""
75,44092,12.135,"""Wickliffe""","""OH"""
15,44146,12.312999999999999,"""Bedford""","""OH"""
54,44140,13.293,"""Bay Village""","""OH"""
68,44040,13.852,"""Gates Mills""","""OH"""
31,44145,13.931,"""Westlake""","""OH"""
10,44147,13.955,"""Broadview Heights""","""OH"""
11,44017,14.056,"""Berea""","""OH"""
22,44070,14.446,"""North Olmsted""","""OH"""
6,44133,14.68,"""North Royalton""","""OH"""
28,44022,15.122,"""Chagrin Falls""","""OH"""
81,44095,15.239,"""Eastlake""","""OH"""
17,44139,15.362,"""Solon""","""OH"""
3,44141,15.561,"""Brecksville""","""OH"""
80,44097,15.65,"""Eastlake""","""OH"""
9,44067,15.732000000000001,"""Northfield""","""OH"""
4,44136,15.988,"""Strongsville""","""OH"""
12,44138,16.241,"""Olmsted Falls""","""OH"""
79,44096,16.579,"""Willoughby""","""OH"""
78,44094,16.653,"""Willoughby""","""OH"""
8,44149,16.861,"""Strongsville""","""OH"""
7,44056,16.873,"""Macedonia""","""OH"""
60,44012,17.614,"""Avon Lake""","""OH"""
27,44011,17.711,"""Avon""","""OH"""
67,44026,18.295,"""Chesterland""","""OH"""
46,44072,18.576,"""Novelty""","""OH"""
45,44073,18.852999999999998,"""Novelty""","""OH"""
5,44087,18.933,"""Twinsburg""","""OH"""
2,44233,18.982,"""Hinckley""","""OH"""
1,44286,19.907,"""Richfield""","""OH"""
82,,,,
